User,Tweets,Post_date
railanderReis,@Reisrz Ou nhm convite pra rock...😂😂😂,2021-04-17 20:38:57
railanderReis,"@Reisrz Conheco, mas tenho que confirmar se ela esta pegando jobs",2021-03-04 21:59:27
